0,1,2,3,4,5,6,7,8,9,10,11
1681372800000,30068.60000000,30269.00000000,30039.00000000,30188.14000000,3438.06571000,1681376399999,103600974.96985640,71565,1887.36211000,56874413.45919570,0
1681376400000,30188.15000000,30374.87000000,30150.50000000,30204.85000000,4030.14331000,1681379999999,121937164.14160330,88565,2118.57323000,64102416.48915870,0
1681380000000,30204.85000000,30244.09000000,30152.00000000,30203.14000000,1599.09125000,1681383599999,48294878.22989820,35147,814.06674000,24585915.82132300,0
1681383600000,30203.13000000,30235.00000000,30151.00000000,30159.82000000,1682.19602000,1681387199999,50792831.29878890,32777,786.49132000,23746621.10451980,0
1681387200000,30159.81000000,30303.64000000,30134.16000000,30272.14000000,3033.01027000,1681390799999,91644801.86825540,57252,1582.32853000,47812403.69972670,0
1681390800000,30272.13000000,30328.91000000,30165.01000000,30175.75000000,2455.37582000,1681394399999,74256190.84222420,50616,1174.76231000,35527818.37299390,0
1681394400000,30175.75000000,30530.00000000,30173.94000000,30435.34000000,4882.66693000,1681397999999,148304388.36364590,82002,3015.70673000,91594047.19579750,0
1681398000000,30435.33000000,30595.00000000,30300.00000000,30441.43000000,4400.53673000,1681401599999,133855137.74504660,78312,2288.44967000,69614464.35666400,0
1681401600000,30441.43000000,30476.42000000,30262.40000000,30322.37000000,2727.28200000,1681405199999,82799261.05668040,45533,1200.24290000,36437805.31002180,0
1681405200000,30322.38000000,30435.48000000,30283.72000000,30425.85000000,2355.74887000,1681408799999,71530010.40550810,43837,1272.51258000,38637219.32856090,0
1681408800000,30425.85000000,30535.76000000,30409.78000000,30440.78000000,2137.20153000,1681412399999,65110326.76378760,41679,1115.59734000,33991226.35789570,0
1681412400000,30440.79000000,30440.79000000,30307.09000000,30335.13000000,2237.80037000,1681415999999,67954077.15993720,42167,917.24131000,27850632.73490070,0
1681416000000,30335.13000000,30335.14000000,30205.00000000,30251.97000000,2599.77022000,1681419599999,78676486.97394400,51961,1107.76240000,33521711.49807490,0
1681419600000,30251.96000000,30328.42000000,30245.01000000,30283.70000000,1226.19143000,1681423199999,37140394.56394630,29356,598.14569000,18115609.91574600,0
1681423200000,30283.70000000,30394.70000000,30283.69000000,30296.09000000,1453.81237000,1681426799999,44095717.67627070,32292,733.84877000,22258519.51976950,0
1681426800000,30296.09000000,30388.71000000,30280.11000000,30373.84000000,1102.16203000,1681430399999,33427420.67507790,25073,587.30241000,17811285.06258980,0
1681430400000,30373.84000000,30799.61000000,30310.03000000,30745.73000000,6387.55449000,1681433999999,195562205.83924450,131251,3513.13657000,107575119.89388230,0
1681434000000,30745.72000000,30893.79000000,30682.09000000,30775.34000000,6005.99956000,1681437599999,184895947.94423470,115891,3020.59927000,92995681.88546360,0
1681437600000,30775.34000000,30808.78000000,30520.00000000,30595.80000000,3493.63348000,1681441199999,107188597.08176420,68166,1483.72956000,45521022.60913010,0
1681441200000,30595.80000000,30738.64000000,30549.33000000,30690.88000000,2636.10187000,1681444799999,80813673.49082470,46687,1229.98034000,37703697.38204360,0
1681444800000,30690.89000000,30754.05000000,30674.53000000,30708.82000000,1999.62142000,1681448399999,61412985.20235850,38496,968.01317000,29730410.16609500,0
1681448400000,30708.82000000,30836.54000000,30698.25000000,30796.28000000,2299.64863000,1681451999999,70780984.32269300,42822,1300.29020000,40018526.33990730,0
1681452000000,30796.27000000,31000.00000000,30714.50000000,30942.87000000,4121.46412000,1681455599999,127192400.62008440,83016,2321.53361000,71662933.74394960,0
1681455600000,30942.86000000,30963.69000000,30725.01000000,30733.72000000,3490.12310000,1681459199999,107647114.70839850,74791,1579.29456000,48712289.86840360,0
1681459200000,30733.73000000,30788.47000000,30657.14000000,30730.22000000,2525.37705000,1681462799999,77595523.07946160,46257,1222.32409000,37559254.16236340,0
1681462800000,30730.22000000,30798.29000000,30700.00000000,30794.16000000,1798.17559000,1681466399999,55285320.90920070,37095,999.39820000,30726623.95831180,0
1681466400000,30794.16000000,30827.27000000,30758.89000000,30766.01000000,1912.71920000,1681469999999,58904640.36691270,37375,922.04020000,28395630.99452100,0
1681470000000,30766.01000000,30806.70000000,30727.63000000,30801.89000000,1391.49261000,1681473599999,42820646.02143480,30814,653.19740000,20101202.83408710,0
1681473600000,30801.89000000,30850.00000000,30575.00000000,30616.98000000,3976.82160000,1681477199999,122206957.01396500,80627,1900.48371000,58405899.64915140,0
1681477200000,30616.98000000,30749.58000000,30610.03000000,30721.54000000,3317.94871000,1681480799999,101765489.67713960,57262,1770.05972000,54288913.79236180,0
1681480800000,30721.54000000,30757.60000000,30483.21000000,30599.89000000,4968.13489000,1681484399999,152062780.14022580,83982,2497.08745000,76430536.42947200,0
1681484400000,30599.89000000,30629.00000000,30101.00000000,30237.89000000,7370.81084000,1681487999999,223374593.99258670,144221,3626.76351000,109909224.61134870,0
1681488000000,30237.88000000,30269.41000000,29966.00000000,30147.49000000,5062.47285000,1681491599999,152502607.63611130,88174,2362.64639000,71179172.21496580,0
1681491600000,30147.49000000,30282.08000000,30131.00000000,30276.62000000,3337.41802000,1681495199999,100873459.22886240,61850,1780.80136000,53821006.89556600,0
1681495200000,30276.62000000,30357.80000000,30243.22000000,30277.10000000,2240.74996000,1681498799999,67900152.22470950,47224,1179.02459000,35727697.76061920,0
1681498800000,30277.11000000,30346.99000000,30200.76000000,30324.09000000,1589.86235000,1681502399999,48137566.97117660,37655,830.36272000,25141480.48099640,0
1681502400000,30324.09000000,30522.07000000,30272.25000000,30448.82000000,2857.89041000,1681505999999,86928390.70977930,54414,1592.45737000,48435738.20703430,0
1681506000000,30448.82000000,30510.15000000,30393.26000000,30454.09000000,1259.30044000,1681509599999,38355369.74858070,33619,680.43300000,20723198.17956270,0
1681509600000,30454.09000000,30454.09000000,30410.96000000,30435.34000000,940.86198000,1681513199999,28632345.53215370,28863,454.18926000,13821580.05525420,0
1681513200000,30435.33000000,30481.87000000,30370.52000000,30466.93000000,1000.01135000,1681516799999,30427741.91832720,33628,518.74381000,15784441.45067560,0
1681516800000,30466.93000000,30595.60000000,30372.48000000,30372.48000000,2000.69786000,1681520399999,60952983.83448630,60888,1017.74422000,31012621.22622750,0
1681520400000,30372.48000000,30399.00000000,30278.08000000,30370.01000000,1734.50215000,1681523999999,52644203.89605490,47465,841.33695000,25537872.13470920,0
1681524000000,30370.01000000,30441.17000000,30346.40000000,30380.00000000,1061.35596000,1681527599999,32254010.83466720,30399,469.94477000,14281231.36705650,0
1681527600000,30380.00000000,30421.94000000,30362.62000000,30376.14000000,950.38783000,1681531199999,28879239.04152160,25440,388.06763000,11792110.09583130,0
1681531200000,30376.13000000,30394.50000000,30337.97000000,30356.11000000,1130.26962000,1681534799999,34316463.66827810,28323,456.96424000,13874266.38711060,0
1681534800000,30356.10000000,30434.83000000,30352.52000000,30427.05000000,1221.79719000,1681538399999,37140994.26160540,25421,679.62083000,20659275.11339790,0
1681538400000,30427.05000000,30436.46000000,30363.23000000,30390.99000000,884.87137000,1681541999999,26894643.71346710,26117,422.61425000,12844431.21711370,0
1681542000000,30390.99000000,30467.92000000,30389.35000000,30433.30000000,917.46158000,1681545599999,27908060.07832960,33020,458.82138000,13956744.29926790,0
1681545600000,30433.29000000,30456.73000000,30364.70000000,30385.12000000,910.28118000,1681549199999,27686542.49661320,29059,446.06464000,13567040.37958680,0
1681549200000,30385.13000000,30464.90000000,30385.12000000,30459.94000000,940.59141000,1681552799999,28622138.07713060,28362,498.00776000,15154431.19590300,0
1681552800000,30459.94000000,30470.00000000,30373.41000000,30417.07000000,880.42270000,1681556399999,26790026.94764060,27367,423.53141000,12886642.87628740,0
1681556400000,30417.06000000,30439.70000000,30365.56000000,30385.30000000,936.52967000,1681559999999,28474284.57206980,28538,476.00081000,14473025.09768620,0
1681560000000,30385.31000000,30444.00000000,30377.38000000,30423.28000000,726.92448000,1681563599999,22105263.83955260,25430,368.33230000,11200620.19404830,0
1681563600000,30423.29000000,30442.66000000,30285.00000000,30335.19000000,1432.79203000,1681567199999,43499846.16198830,38301,547.05873000,16611237.17869660,0
1681567200000,30335.19000000,30376.95000000,30302.24000000,30359.39000000,921.18977000,1681570799999,27964095.69420830,29219,455.54104000,13828639.35996580,0
1681570800000,30359.38000000,30420.00000000,30323.41000000,30325.27000000,1191.56408000,1681574399999,36201469.93674460,36274,550.30018000,16720404.11150490,0
1681574400000,30325.27000000,30339.35000000,30261.95000000,30319.98000000,1926.10690000,1681577999999,58366123.09600880,43022,1071.29274000,32463385.32143270,0
1681578000000,30319.98000000,30319.99000000,30202.00000000,30246.21000000,1110.86328000,1681581599999,33611740.76531030,34448,483.65113000,14634636.20233000,0
1681581600000,30246.22000000,30301.72000000,30244.75000000,30300.77000000,620.03197000,1681585199999,18772623.42459190,22302,341.96999000,10353466.45792390,0
1681585200000,30300.76000000,30331.75000000,30226.72000000,30331.74000000,1069.84607000,1681588799999,32407741.64562450,28020,490.02395000,14844931.68883400,0
1681588800000,30331.74000000,30344.84000000,30261.33000000,30280.65000000,904.81804000,1681592399999,27422771.88709480,25237,540.50012000,16381644.43456260,0
1681592400000,30280.65000000,30308.76000000,30239.86000000,30263.77000000,640.54328000,1681595999999,19391459.83634950,19930,309.12986000,9358433.48773020,0
1681596000000,30263.77000000,30360.19000000,30236.39000000,30350.98000000,791.69584000,1681599599999,24005575.60939600,22920,436.62604000,13238442.42824320,0
1681599600000,30350.99000000,30359.92000000,30282.35000000,30295.09000000,524.26821000,1681603199999,15898794.29528200,16916,251.20012000,7617996.05745650,0
1681603200000,30295.10000000,30319.04000000,30270.11000000,30277.54000000,603.52064000,1681606799999,18284318.50761380,24249,281.25504000,8520475.73898120,0
1681606800000,30277.53000000,30277.54000000,30120.00000000,30236.95000000,1595.55527000,1681610399999,48200689.35241790,43472,742.48492000,22429133.24171490,0
1681610400000,30236.96000000,30284.78000000,30224.43000000,30264.20000000,638.70251000,1681613999999,19330135.03749420,20407,328.22125000,9932932.99279430,0
